1,Qoraqalpog‘iston Respublikasi,1735
2,Andijon viloyati,1703
3,Buxoro viloyati,1706
4,Jizzax viloyati,1708
5,Qashqadaryo viloyati,1710
6,Navoiy viloyati,1712
7,Namangan viloyati,1714
8,Samarqand viloyati,1718
9,Surxondaryo viloyati,1722
10,Sirdaryo viloyati,1724
11,Toshkent shahri,1726
12,Toshkent viloyati,1727
13,Farg‘ona viloyati,1730
14,Xorazm viloyati,1733
